system_id,rocch_eer,empirical_eer,auc,tar_far_0.1,tar_far_0.01,tar_far_0.001,cllr,cllr_cal,brier,nll,ece
U-FP,0.3096913580246914,0.3118421052631579,0.7453052631578946,0.385,0.125,0.05,0.9585096275416416,0.12794453404005113,0.2207102015593387,0.6340675633301227,0.4180273871523716
U-FV,0.34406792645556694,0.35,0.7171631578947368,0.415,0.165,0.015,0.9689989902413341,0.12506212922909887,0.2257757200143874,0.6444152481201181,0.42368660821120907
C1,0.31053879310344823,0.315,0.7704052631578948,0.525,0.32,0.11,1.3030216725122556,0.5486750174312112,0.07622373386783826,0.2639906115414874,0.11381578092551382
C2,0.3087604290822408,0.32,0.7732052631578947,0.53,0.295,0.135,1.3454211814979191,0.5876354581956017,0.07467420536565472,0.26054368367231895,0.10712360640722576
C3,0.3092888670917116,0.32,0.7685,0.515,0.32,0.105,1.4289646993163676,0.6722990583844337,0.07637476678291279,0.26825329948954435,0.10996076092299033
C4,0.21146748681898067,0.215,0.8631500000000001,0.625,0.3,0.175,0.7757947993974091,0.13967332153663437,0.07269401549347146,0.27542816395802494,0.1689796186755149
C5,0.3136254295532646,0.32,0.7557092105263159,0.505,0.255,0.12,1.5819701840910054,0.7943794907113861,0.07523376579208799,0.27219253522549514,0.10322822659318345
D1,0.3098350515463918,0.3192105263157895,0.7624881578947368,0.495,0.225,0.08,1.0378932961333467,0.257858362428405,0.08799049661705413,0.2969588409977903,0.1535659097110946
D2,0.286452784503632,0.29,0.7903934210526317,0.33,0.1,0.03,0.9672603562669573,0.24440746359988452,0.1481503710114585,0.4092654008791501,0.19900290920798583
D3S,0.3104080882352941,0.325,0.76445,0.52,0.31,0.09,1.2842075871091305,0.5266070500512812,0.07894405615788795,0.27178780013199766,0.119605473667825
