system_id,median_ms,q1_ms,q3_ms,mean_ms,repeats,trainable_params,total_params
U-FP,0.000782,0.000772,0.000792,0.00081595,200,0,0
U-FV,0.000792,0.000782,0.00080425,0.0008211599999999999,200,0,0
C1,0.042879,0.042504,0.043601,0.04484005,200,0,4
C2,0.029088999999999997,0.028954,0.029214,0.030106055,200,2,6
C3,0.1045135,0.1035595,0.1076425,0.10859827000000001,200,3,7
C4,2.9301269999999997,2.9146562499999997,2.9480252499999997,2.93647874,200,0,2048
C5,0.0854435,0.085018,0.086275,0.08739851500000001,200,1,5
D1,0.077098,0.06392625,0.077704,0.07595032,200,65,65
D2,1.9283085,1.91503575,1.953923,1.9377479649999998,200,139456,139456
D3S,0.22420600000000002,0.2222045,0.23964975,0.23291102499999997,200,116,116
