condition_id,rank,system_id,rocch_eer,kendall_tau_b_vs_clean,condition_reversal_count
clean,1,C4,0.21146748681898067,1.0,0
clean,2,D2,0.286452784503632,1.0,0
clean,3,C2,0.3087604290822408,1.0,0
clean,4,C3,0.3092888670917116,1.0,0
clean,5,D1,0.3098350515463918,1.0,0
clean,6,D3S,0.3104080882352941,1.0,0
clean,7,C1,0.31053879310344823,1.0,0
clean,8,C5,0.3136254295532646,1.0,0
finger_vein-blur-1,1,C4,0.20759950248756215,0.8571428571428571,2
finger_vein-blur-1,2,D2,0.26553756030323916,0.8571428571428571,2
finger_vein-blur-1,3,C2,0.2925,0.8571428571428571,2
finger_vein-blur-1,4,C3,0.29943925233644864,0.8571428571428571,2
finger_vein-blur-1,5,C1,0.29960017769880054,0.8571428571428571,2
finger_vein-blur-1,6,D1,0.3004580152671755,0.8571428571428571,2
finger_vein-blur-1,7,D3S,0.3013611111111111,0.8571428571428571,2
finger_vein-blur-1,8,C5,0.3078687415426252,0.8571428571428571,2
finger_vein-blur-2,1,C4,0.23234455958549222,0.6428571428571429,5
finger_vein-blur-2,2,D2,0.2752305475504323,0.6428571428571429,5
finger_vein-blur-2,3,C2,0.2964967105263158,0.6428571428571429,5
finger_vein-blur-2,4,C1,0.3021277719112989,0.6428571428571429,5
finger_vein-blur-2,5,C3,0.3088000000000001,0.6428571428571429,5
finger_vein-blur-2,6,D3S,0.3148608137044968,0.6428571428571429,5
finger_vein-blur-2,7,C5,0.3296511627906976,0.6428571428571429,5
finger_vein-blur-2,8,D1,0.33120037807183367,0.6428571428571429,5
finger_vein-blur-3,1,C4,0.2455312954876274,0.7142857142857143,4
finger_vein-blur-3,2,D2,0.29043707093821514,0.7142857142857143,4
finger_vein-blur-3,3,C2,0.30388633754305394,0.7142857142857143,4
finger_vein-blur-3,4,C1,0.310296052631579,0.7142857142857143,4
finger_vein-blur-3,5,C3,0.3165170278637771,0.7142857142857143,4
finger_vein-blur-3,6,D3S,0.3236255924170616,0.7142857142857143,4
finger_vein-blur-3,7,D1,0.32780612244897955,0.7142857142857143,4
finger_vein-blur-3,8,C5,0.3400644427596664,0.7142857142857143,4
finger_vein-contrast-1,1,C4,0.2150186567164179,0.5,7
finger_vein-contrast-1,2,D2,0.2792485549132948,0.5,7
finger_vein-contrast-1,3,C5,0.31679597701149426,0.5,7
finger_vein-contrast-1,4,C2,0.31804301075268815,0.5,7
finger_vein-contrast-1,5,D1,0.3213877551020409,0.5,7
finger_vein-contrast-1,6,C3,0.32181934248324295,0.5,7
finger_vein-contrast-1,7,C1,0.32397720364741645,0.5,7
finger_vein-contrast-1,8,D3S,0.3240476190476191,0.5,7
finger_vein-contrast-2,1,C4,0.2337012987012987,0.5714285714285714,6
finger_vein-contrast-2,2,D2,0.26815068493150684,0.5714285714285714,6
finger_vein-contrast-2,3,D1,0.3170673813169984,0.5714285714285714,6
finger_vein-contrast-2,4,C2,0.33332711231761114,0.5714285714285714,6
finger_vein-contrast-2,5,C5,0.34137065637065633,0.5714285714285714,6
finger_vein-contrast-2,6,C3,0.34414087513340447,0.5714285714285714,6
finger_vein-contrast-2,7,C1,0.34425,0.5714285714285714,6
finger_vein-contrast-2,8,D3S,0.347213416360034,0.5714285714285714,6
finger_vein-contrast-3,1,C4,0.24867346938775514,0.5,7
finger_vein-contrast-3,2,D2,0.2540821256038648,0.5,7
finger_vein-contrast-3,3,D1,0.3134047350620067,0.5,7
finger_vein-contrast-3,4,C2,0.35426605504587155,0.5,7
finger_vein-contrast-3,5,C5,0.35838422391857505,0.5,7
finger_vein-contrast-3,6,C1,0.36568695390177763,0.5,7
finger_vein-contrast-3,7,C3,0.3694680300284753,0.5,7
finger_vein-contrast-3,8,D3S,0.3741870435058749,0.5,7
fingerprint-blur-1,1,C4,0.22262860727728984,0.8571428571428571,2
fingerprint-blur-1,2,D2,0.2769017432646593,0.8571428571428571,2
fingerprint-blur-1,3,C2,0.2892203491872366,0.8571428571428571,2
fingerprint-blur-1,4,C3,0.2964436229205175,0.8571428571428571,2
fingerprint-blur-1,5,C1,0.2967078096947935,0.8571428571428571,2
fingerprint-blur-1,6,D1,0.296969696969697,0.8571428571428571,2
fingerprint-blur-1,7,D3S,0.29732788798133025,0.8571428571428571,2
fingerprint-blur-1,8,C5,0.3118900282885432,0.8571428571428571,2
fingerprint-blur-2,1,C4,0.24272131147540982,0.42857142857142855,8
fingerprint-blur-2,2,D2,0.2623893805309735,0.42857142857142855,8
fingerprint-blur-2,3,D3S,0.3125698324022347,0.42857142857142855,8
fingerprint-blur-2,4,C3,0.31315499999999996,0.42857142857142855,8
fingerprint-blur-2,5,C1,0.31883611691022967,0.42857142857142855,8
fingerprint-blur-2,6,C5,0.319638720353006,0.42857142857142855,8
fingerprint-blur-2,7,C2,0.3235263612791703,0.42857142857142855,8
fingerprint-blur-2,8,D1,0.32748348745046235,0.42857142857142855,8
fingerprint-blur-3,1,C4,0.2791399416909621,0.21428571428571427,11
fingerprint-blur-3,2,D1,0.3595037389530932,0.21428571428571427,11
fingerprint-blur-3,3,D3S,0.38391184573002757,0.21428571428571427,11
fingerprint-blur-3,4,C3,0.3901076061320755,0.21428571428571427,11
fingerprint-blur-3,5,C1,0.3946153846153846,0.21428571428571427,11
fingerprint-blur-3,6,D2,0.3967514514791264,0.21428571428571427,11
fingerprint-blur-3,7,C5,0.4147836122331217,0.21428571428571427,11
fingerprint-blur-3,8,C2,0.4208059023836549,0.21428571428571427,11
fingerprint-contrast-1,1,C4,0.2210979877515311,0.5714285714285714,6
fingerprint-contrast-1,2,D2,0.2610799438990183,0.5714285714285714,6
fingerprint-contrast-1,3,C1,0.29823361823361827,0.5714285714285714,6
fingerprint-contrast-1,4,C2,0.29886354209871424,0.5714285714285714,6
fingerprint-contrast-1,5,D3S,0.30137341772151893,0.5714285714285714,6
fingerprint-contrast-1,6,C3,0.30198800342759213,0.5714285714285714,6
fingerprint-contrast-1,7,D1,0.3107405375754251,0.5714285714285714,6
fingerprint-contrast-1,8,C5,0.323972972972973,0.5714285714285714,6
fingerprint-contrast-2,1,C4,0.2328133704735376,0.7142857142857143,4
fingerprint-contrast-2,2,D2,0.26735614307931566,0.7142857142857143,4
fingerprint-contrast-2,3,C2,0.30606756756756753,0.7142857142857143,4
fingerprint-contrast-2,4,C1,0.30649566473988443,0.7142857142857143,4
fingerprint-contrast-2,5,C3,0.3082713141780499,0.7142857142857143,4
fingerprint-contrast-2,6,D3S,0.31093680709534366,0.7142857142857143,4
fingerprint-contrast-2,7,D1,0.3275632911392405,0.7142857142857143,4
fingerprint-contrast-2,8,C5,0.33126283987915406,0.7142857142857143,4
fingerprint-contrast-3,1,C4,0.2351595744680851,0.5714285714285714,6
fingerprint-contrast-3,2,D2,0.30203848895224517,0.5714285714285714,6
fingerprint-contrast-3,3,C3,0.32472660996354796,0.5714285714285714,6
fingerprint-contrast-3,4,C1,0.32931398416886537,0.5714285714285714,6
fingerprint-contrast-3,5,D3S,0.32955379482902414,0.5714285714285714,6
fingerprint-contrast-3,6,C2,0.339801295260524,0.5714285714285714,6
fingerprint-contrast-3,7,D1,0.3433340573414422,0.5714285714285714,6
fingerprint-contrast-3,8,C5,0.3472752548656163,0.5714285714285714,6
missing-finger-vein,1,C1,0.3096913580246914,,0
